"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R16,R1";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";2;"R16K";;;
2;"C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"22uF";;;
3;"D2,D4,D3";"LED_D5.0mm";3;"LED";;;
4;"R3,R8,R11,R9,R12,R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";6;"R1K";;;
5;"R15";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"R100";;;
6;"J1,J4,J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";3;"Screw_Terminal_01x02";;;
7;"U1";"ESP32-WROOM-32D";1;"ESP32-WROOM-32E";;;
8;"C3,C1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"100nF";;;
9;"Q1";"SOT-23";1;"MMBT2222A";;;
10;"J5,J2";"PinSocket_1x06_P2.54mm_Vertical";2;"Conn_01x06_Pin";;;
11;"L1";"L_Abracon_ASPI-4030S";1;"33uH";;;
12;"C4";"CP_Radial_D10.0mm_P5.00mm";1;"680uF";;;
13;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100mA";;;
14;"D5";"D_DO-201AD_P15.24mm_Horizontal";1;"1N5822";;;
15;"R14";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"R330";;;
16;"R2,R10";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"R10K";;;
17;"C6";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10nF";;;
18;"R13,R6,R5,R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";4;"R220";;;
19;"D1";"LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100";1;"LED_RGBA";;;
20;"C5";"CP_Radial_D10.0mm_P5.00mm";1;"220uF";;;
21;"Q3,Q2";"SOT-23";2;"MMBT3904";;;
22;"U3";"SOP-4_4.4x2.6mm_P1.27mm";1;"ACPL-214-500E";;;
23;"PS1";"Converter_ACDC_MeanWell_IRM-05-xx_THT";1;"IRM-05-5";;;
24;"U4";"DIP-6_W7.62mm";1;"MOC3021M";;;
25;"U2";"TO-263-5_TabPin3";1;"LM2596S-3.3";;;
26;"Q4";"TO-220-3_Vertical";1;"BT136-500";;;
